"Part","Value","Device","Package","Description","BUILT_BY","COPYRIGHT","DESCRIPTION","FLASH","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","RAM","SPICEPREFIX","SUPPLIER","VENDOR",
"AT1","HX1178NL","HX1178NL","SOP254P1283X647-16N","Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port","","","Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port","","6.47mm","Pulse","HX1178NL","","","","","","","","","","","","",
"B2","","B25A-","B25A-","RECTIFIER","","","","","","","","","","","","","","","","","","","",
"C1","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C2","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C3","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C4","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C5","20P","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C6","20P","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C7","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C8","","CENPC1206K","C1206K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C9","","CENPC1206K","C1206K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C11","1nF/1KV","CXC10B6","XC10B6","Condensateur","","","","","","","","","","","","","","","","","","","",
"C12","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C13","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C14","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C15","2200uF","CPOL-USSANYO_B'","SANYO-OSCON_B'","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","","","","","","","C","","",
"C16","0.33uF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C17","0.1uF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C18","0.1uF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C19","47uF","CPOL-USSANYO_B'","SANYO-OSCON_B'","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","","","","","","","C","","",
"C20","0.1uF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C21","47uF","CPOL-USSANYO_B'","SANYO-OSCON_B'","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","","","","","","","C","","",
"C22","0.1uF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C23","47uF","CPOL-USSANYO_B'","SANYO-OSCON_B'","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","","","","","","","C","","",
"FRAME1","","CARTOUCHE_TGÉ","CARTOUCHE","Cartouche de TGÉ:  Grandeur A, dimention 8 1/2 x 11 pouces, orientation portrait.","","","","","","","","","","","","","","","","","","","",
"H1","MOUNT-PAD-ROUND3.3","MOUNT-PAD-ROUND3.3","3,3-PAD","MOUNTING PAD, round","","","","","","","","","","","","","","","1","","","","",
"H2","MOUNT-PAD-ROUND3.3","MOUNT-PAD-ROUND3.3","3,3-PAD","MOUNTING PAD, round","","","","","","","","","","","","","","","1","","","","",
"H3","MOUNT-PAD-ROUND3.3","MOUNT-PAD-ROUND3.3","3,3-PAD","MOUNTING PAD, round","","","","","","","","","","","","","","","1","","","","",
"H4","MOUNT-PAD-ROUND3.3","MOUNT-PAD-ROUND3.3","3,3-PAD","MOUNTING PAD, round","","","","","","","","","","","","","","","1","","","","",
"IC2","7805TV","7805TV","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","57","","","","",
"IC3","7805TV","7805TV","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","57","","","","",
"IC4","7805TV","7805TV","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","57","","","","",
"IC5","7805TV","7805TV","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","57","","","","",
"IP4220CZ6","IP4220CZ6,125DIODE_SOT457_1P7X3P1-M","IP4220CZ6,125DIODE_SOT457_1P7X3P1-M","DIODE_SOT457_1P7X3P1-M","","EMA_Anthony","Copyright (C) 2016 Accelerated Designs. All rights reserved","","","","","IP4220CZ6,125","","","","","","","","","","","","Nexperia",
"JP1","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP2","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP3","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP4","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP5","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP6","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP7","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP8","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP9","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP10","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP11","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP12","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP13","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP14","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP15","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"JP16","","PINHD-1X1","1X01","PIN HEADER","","","","","","","","","","","","","","","","","","","",
"LM3940","7824TV","7824TV","TO220V","Positive VOLTAGE REGULATOR","","","","","","","","","","","","","","","0","","","","",
"Q1","16MHz","CRYSTALHC49S","HC49/S","CRYSTAL","","","","","","","","","","","","1667008","unknown","","49","","","","",
"R1","1k","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R2","1M","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R3","10k","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R4","10k","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R5","1k","RM3216","M3216","R","","","","","","","","","","","","","","","","","","","",
"R12","50","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R13","50","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R14","50","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R15","50","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R16","75","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R17","75","RM1206","M1206","R","","","","","","","","","","","","","","","","","","","",
"R18","0.82","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"R19","3.72","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"R20","0.82","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"R21","3.72","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"R22","0.82","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"R23","3.72","R0309/10","0309/10","R","","","","","","","","","","","","","","","","","","","",
"S1","","10-XX","B3F-10XX","OMRON SWITCH","","","","","","","","","","","B3F-1000","176432","36M3542","","72","","","","",
"U$1","TXS0108E","TXS0108E","TSSOP20","8-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR","","","","","","","","","","","","","","","","","","","",
"U$2","OMEGA2+","OMEGA2+","OMEGA2_PADS","Onion Omega2+","","","","32MB","","","","","","","","","","","","128MB","","","",
"U1","ATMEGA328P-AU","ATMEGA328P-AU","QFP80P900X900X120-32N","8-bit Microcontroller with In-System Programmable Flash","","","","","","","","","","","ATMEGA328P-AU","1715486","14R4631","TQFP-32","","","","Atmel","",
"USB","USB_2P85-32003-00X-1","USB_2P85-32003-00X-1","USB2","","","","","","","","","","","","","","","","","","","","",
"VERIFIER_TYPE","2N3904","2N3904","TO92","NPN TRANSISTOR","","","","","","","","","","","","","","","27","","","","",
"X1","RJ45-6L-B","RJ45-6L-B","RJ45-NO-SHIELD","CORCOM Modular RJ Jacks No Shield","","","","","","","","","","","RJ45-6L-B","unknown","16R6090","","0","","","","",
"X2","","W237-102","W237-102","WAGO SCREW CLAMP","","","","","","","","","","","237-102","unknown","70K9898","","32","","","","",
"X3","","W237-102","W237-102","WAGO SCREW CLAMP","","","","","","","","","","","237-102","unknown","70K9898","","32","","","","",
"X4","","W237-102","W237-102","WAGO SCREW CLAMP","","","","","","","","","","","237-102","unknown","70K9898","","32","","","","",
"X5","","W237-102","W237-102","WAGO SCREW CLAMP","","","","","","","","","","","237-102","unknown","70K9898","","32","","","","",
